"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"26","RT @keshavyadaviyc: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947><U+0924><U+093E> <U+0938><U+0941><U+092C><U+094D><U+0930><U+092E><U+0923><U+094D><U+092F><U+092E>  <U+0928><U+0947> <U+092C><U+094B><U+0932><U+093E> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+0906><U+0930><U+094B><U+092A> <U+092E><U+0947><U+0902> <U+0936><U+0936><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932><U+093E> <U+091C><U+093E> <U+091A><U+0941><U+0915><U+0947> <U+0939><U+0948><U+0964> <U+0909><U+0928><U+0915><U+0947> <U+0915><U+093E><U+0932><U+0947> <U+0915><U+093E><U+0930>…",FALSE,0,NA,2018-12-25 07:45:57,FALSE,NA,"1077470487184211969",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","harendrarawat05",252,TRUE,FALSE,NA,NA
"27","RT @HinduDharma1: Did Shaktikanta Das Go Slow in CBI’s probe Against Chidambaram in Aircel-Maxis case?

Some inconvenient questions for P C…",FALSE,0,NA,2018-12-25 07:42:51,FALSE,NA,"1077469708624945153",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rssnagpur",153,TRUE,FALSE,NA,NA
"28","RT @ramks100: As usual Sir ,, nothing new,,

Smile you are in the country of dalals ,,, 

@PMOIndia
@narendramodi
@Swamy39

Subramanian Swa…",FALSE,0,NA,2018-12-25 07:42:33,FALSE,NA,"1077469631185543168",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ramks100",1,TRUE,FALSE,NA,NA
"29","RT @DrAMSinghvi: ""The new governor of RBI is highly corrupt. I got him removed from the Finance Ministry.I am calling Shaktikanta Das as a…",FALSE,0,NA,2018-12-25 07:37:16,FALSE,NA,"1077468301503094785",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","roushn",979,TRUE,FALSE,NA,NA
"30","RT @sharvendrapyg: <U+0905><U+092C><U+0915><U+0940> <U+092C><U+093E><U+0930>, ‘<U+0917><U+0935><U+0930><U+094D><U+0928><U+0930>’ <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930>! @samajwadiparty @yadavakhilesh 

https://t.co/TgqBuyQFoC",FALSE,0,NA,2018-12-25 07:31:39,FALSE,NA,"1077466891373957121",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MohdIrs47140805",5,TRUE,FALSE,NA,NA
"31","RT @DrAMSinghvi: ""The new governor of RBI is highly corrupt. I got him removed from the Finance Ministry.I am calling Shaktikanta Das as a…",FALSE,0,NA,2018-12-25 07:26:24,FALSE,NA,"1077465567429386240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sur771",979,TRUE,FALSE,NA,NA
"32","RT @DrAMSinghvi: ""The new governor of RBI is highly corrupt. I got him removed from the Finance Ministry.I am calling Shaktikanta Das as a…",FALSE,0,NA,2018-12-25 07:24:19,FALSE,NA,"1077465043971829760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AAPkaMangoMan",979,TRUE,FALSE,NA,NA
"33","RT @aajtak: '<U+092E><U+0948><U+0902> <U+0936><U+0915><U+094D><U+0924><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924><U+093F> <U+0915><U+0939> <U+0930><U+0939><U+093E> <U+0939><U+0942><U+0902>. <U+092E><U+0948><U+0902> <U+0939><U+0948><U+0930><U+093E><U+0928> <U+0939><U+0942><U+0902> <U+0915><U+093F> <U+091C><U+093F><U+0938> <U+0935><U+094D><U+092F><U+0915><U+094D><U+0924><U+093F> <U+0915><U+094B> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+091A><U+0932><U+0924><U+0947> <U+092E><U+0948><U+0902><U+0928><U+0947> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0939><U+091F>…",FALSE,0,NA,2018-12-25 07:21:59,FALSE,NA,"1077464458283438080",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sur771",3542,TRUE,FALSE,NA,NA
"34","RT @keshavyadaviyc: <U+092D><U+093E><U+091C><U+092A><U+093E> <U+0928><U+0947><U+0924><U+093E> <U+0938><U+0941><U+092C><U+094D><U+0930><U+092E><U+0923><U+094D><U+092F><U+092E>  <U+0928><U+0947> <U+092C><U+094B><U+0932><U+093E> <U+092D><U+094D><U+0930><U+0937><U+094D><U+091F><U+093E><U+091A><U+093E><U+0930> <U+0915><U+0947> <U+0906><U+0930><U+094B><U+092A> <U+092E><U+0947><U+0902> <U+0936><U+0936><U+093F><U+0915><U+093E><U+0902><U+0924> <U+0926><U+093E><U+0938> <U+0915><U+094B> <U+0935><U+093F><U+0924><U+094D><U+0924> <U+092E><U+0902><U+0924><U+094D><U+0930><U+093E><U+0932><U+092F> <U+0938><U+0947> <U+0928><U+093F><U+0915><U+093E><U+0932><U+093E> <U+091C><U+093E> <U+091A><U+0941><U+0915><U+0947> <U+0939><U+0948><U+0964> <U+0909><U+0928><U+0915><U+0947> <U+0915><U+093E><U+0932><U+0947> <U+0915><U+093E><U+0930>…",FALSE,0,NA,2018-12-25 07:17:00,FALSE,NA,"1077463202886311936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AtharAleem",252,TRUE,FALSE,NA,NA
"35","RT @RakshaRamaiah: Now even the hardcore Hindutva supporter like Mr. Swamy is surprised by Mr. Modi's choice. He accuses Shaktikanta Das, t…",FALSE,0,NA,2018-12-25 07:15:48,FALSE,NA,"1077462899407241216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Sudhaka22065833",18,TRUE,FALSE,NA,NA
